Year,Month,Day,Period,1
2016,7,12,1,21.41485005
2016,7,12,2,21.94662655
2016,7,12,3,22.5574102
2016,7,12,4,23.131138
2016,7,12,5,24.23932435
2016,7,12,6,25.24719305
2016,7,12,7,25.89932785
2016,7,12,8,26.3734357
2016,7,12,9,26.2165384
2016,7,12,10,22.82013665
2016,7,12,11,14.0000392
2016,7,12,12,10.3822678
2016,7,12,13,9.9697886
2016,7,12,14,9.57254195
2016,7,12,15,8.7490022
2016,7,12,16,8.0078807
2016,7,12,17,8.20349185
2016,7,12,18,10.6989078
2016,7,12,19,14.0402197
2016,7,12,20,16.50654445
2016,7,12,21,18.52730605
2016,7,12,22,20.46488925
2016,7,12,23,22.1709552
2016,7,12,24,23.5818525
2016,7,13,1,24.66159585
2016,7,13,2,25.62589615
2016,7,13,3,26.440739
2016,7,13,4,26.7844554
2016,7,13,5,27.0302826
2016,7,13,6,27.3745471
2016,7,13,7,27.76906365
2016,7,13,8,28.2974091
2016,7,13,9,28.2141251
2016,7,13,10,25.24046775
2016,7,13,11,17.13616055
2016,7,13,12,13.191712
2016,7,13,13,12.8697158
2016,7,13,14,12.8873776
2016,7,13,15,11.93606775
2016,7,13,16,10.70021605
2016,7,13,17,10.3552034
2016,7,13,18,12.49301225
2016,7,13,19,15.9816773
2016,7,13,20,19.07732685
2016,7,13,21,21.6217586
2016,7,13,22,23.65122745
2016,7,13,23,24.984481
2016,7,13,24,25.88714155
2016,7,14,1,26.61752895
2016,7,14,2,27.11496445
2016,7,14,3,27.3687908
2016,7,14,4,27.0661071
2016,7,14,5,26.7921601
2016,7,14,6,26.67166655
2016,7,14,7,26.60819435
2016,7,14,8,26.6296209
2016,7,14,9,25.95279255
2016,7,14,10,22.6568117
2016,7,14,11,16.1553138
2016,7,14,12,13.44604325
2016,7,14,13,14.1436212
2016,7,14,14,15.4337577
2016,7,14,15,15.8359237
2016,7,14,16,15.72052875
2016,7,14,17,16.0088633
2016,7,14,18,18.22069515
2016,7,14,19,21.4165664
2016,7,14,20,24.0583136
2016,7,14,21,26.01380025
2016,7,14,22,27.3104508
2016,7,14,23,28.29036615
2016,7,14,24,28.9858869
2016,7,15,1,29.45086255
2016,7,15,2,29.7264851
2016,7,15,3,29.96232155
2016,7,15,4,30.1420817
2016,7,15,5,30.53300235
2016,7,15,6,31.04555675
2016,7,15,7,31.65846725
2016,7,15,8,32.22640825
2016,7,15,9,31.74288105
2016,7,15,10,28.6526397
2016,7,15,11,21.86735695
2016,7,15,12,18.95762785
2016,7,15,13,19.3370383
2016,7,15,14,19.820892
2016,7,15,15,19.37049035
2016,7,15,16,18.93563565
2016,7,15,17,19.4634586
2016,7,15,18,22.69650415
2016,7,15,19,26.75707415
2016,7,15,20,29.318754
2016,7,15,21,30.80070975
2016,7,15,22,31.89146635
2016,7,15,23,32.51993265
2016,7,15,24,32.7145476
2016,7,16,1,32.8426506
2016,7,16,2,32.76549255
2016,7,16,3,32.37674035
2016,7,16,4,31.88258625
2016,7,16,5,31.59408125
2016,7,16,6,31.4728052
2016,7,16,7,31.3915512
2016,7,16,8,31.3270852
2016,7,16,9,30.4947558
2016,7,16,10,26.896853
2016,7,16,11,18.96637355
2016,7,16,12,15.4802802
2016,7,16,13,14.90389995
2016,7,16,14,14.27583935
2016,7,16,15,13.321997
2016,7,16,16,12.25759825
2016,7,16,17,11.4988422
2016,7,16,18,13.1426874
2016,7,16,19,14.9761426
2016,7,16,20,15.25900975
2016,7,16,21,14.98357845
2016,7,16,22,14.7281278
2016,7,16,23,14.95223405
2016,7,16,24,15.79304585
2016,7,17,1,16.9338969
2016,7,17,2,17.97329485
2016,7,17,3,18.8256281
2016,7,17,4,19.48519715
2016,7,17,5,20.077166
2016,7,17,6,20.76393065
2016,7,17,7,21.12627945
2016,7,17,8,20.95485455
2016,7,17,9,19.7129105
2016,7,17,10,14.94048855
2016,7,17,11,8.22257795
2016,7,17,12,5.582239
2016,7,17,13,5.1760482
2016,7,17,14,4.89558635
2016,7,17,15,4.7584176
2016,7,17,16,4.86893965
2016,7,17,17,5.34974315
2016,7,17,18,7.77584175
2016,7,17,19,10.0774877
2016,7,17,20,10.6384298
2016,7,17,21,10.452074
2016,7,17,22,10.2244495
2016,7,17,23,10.56437955
2016,7,17,24,11.41904445
2016,7,18,1,12.64293385
2016,7,18,2,13.93887865
2016,7,18,3,15.29156
2016,7,18,4,16.5943557
2016,7,18,5,17.4280942
2016,7,18,6,17.73770805
2016,7,18,7,17.7823718
2016,7,18,8,17.5786271
2016,7,18,9,16.88044425
2016,7,18,10,13.22793495
2016,7,18,11,7.21911085
2016,7,18,12,5.07989295
2016,7,18,13,5.4004249
2016,7,18,14,5.78002495
2016,7,18,15,6.0558355
2016,7,18,16,6.37469115
2016,7,18,17,6.8089393
2016,7,18,18,9.5610605
2016,7,18,19,12.80795435
2016,7,18,20,14.34721785
2016,7,18,21,14.5608397
2016,7,18,22,14.1432459
2016,7,18,23,13.9249824
2016,7,18,24,14.3188036
2016,7,19,1,15.07173855
2016,7,19,2,15.85807675
2016,7,19,3,22.58513315
2016,7,19,4,22.7389867
2016,7,19,5,22.83159325
2016,7,19,6,22.8771116
2016,7,19,7,22.8515211
2016,7,19,8,22.6317301
2016,7,19,9,21.503187
2016,7,19,10,16.36070205
2016,7,19,11,10.2577447
2016,7,19,12,8.6563564
2016,7,19,13,8.90483135
2016,7,19,14,9.26630555
2016,7,19,15,9.3902157
2016,7,19,16,9.49454135
2016,7,19,17,9.75591075
2016,7,19,18,12.15443525
2016,7,19,19,14.0332968
2016,7,19,20,14.04139595
2016,7,19,21,13.3066813
2016,7,19,22,12.27569615
2016,7,19,23,11.93106515
2016,7,19,24,12.03570525
2016,7,20,1,12.3975179
2016,7,20,2,13.02879195
2016,7,20,3,13.75963945
2016,7,20,4,14.2994359
2016,7,20,5,14.3995927
2016,7,20,6,14.36739455
2016,7,20,7,14.40190915
2016,7,20,8,14.647858
2016,7,20,9,14.32159935
2016,7,20,10,10.52377655
2016,7,20,11,5.7985437
2016,7,20,12,4.9676602
2016,7,20,13,5.22945525
2016,7,20,14,5.6594298
2016,7,20,15,6.17426625
2016,7,20,16,6.6985157
2016,7,20,17,7.3136514
2016,7,20,18,9.88732235
2016,7,20,19,11.57987295
2016,7,20,20,11.01112855
2016,7,20,21,9.62885275
2016,7,20,22,8.51486045
2016,7,20,23,8.00235085
2016,7,20,24,7.6344346
2016,7,21,1,7.5183171
2016,7,21,2,7.7014899
2016,7,21,3,8.12013745
2016,7,21,4,8.84500465
2016,7,21,5,9.92414385
2016,7,21,6,11.35194035
2016,7,21,7,12.93313035
2016,7,21,8,14.6609981
2016,7,21,9,16.3098403
2016,7,21,10,15.8046001
2016,7,21,11,9.70341425
2016,7,21,12,6.08524915
2016,7,21,13,6.4827703
2016,7,21,14,7.7296033
2016,7,21,15,8.63101235
2016,7,21,16,9.52850705
2016,7,21,17,11.1389531
2016,7,21,18,15.66026435
2016,7,21,19,20.6098003
2016,7,21,20,23.33972605
2016,7,21,21,24.98146285
2016,7,21,22,26.27994655
2016,7,21,23,27.2547017
2016,7,21,24,27.9645564
2016,7,22,1,28.75491695
2016,7,22,2,29.7942621
2016,7,22,3,31.0203303
2016,7,22,4,32.28047305
2016,7,22,5,33.59979915
2016,7,22,6,34.7062756
2016,7,22,7,35.844899
2016,7,22,8,37.14231855
2016,7,22,9,37.50447925
2016,7,22,10,32.6344378
2016,7,22,11,22.96236635
2016,7,22,12,19.82566815
2016,7,22,13,21.26840275
2016,7,22,14,22.52421025
2016,7,22,15,22.82888395
2016,7,22,16,22.077138
2016,7,22,17,21.53259665
2016,7,22,18,23.98977165
2016,7,22,19,28.13047065
2016,7,22,20,30.43364965
2016,7,22,21,31.77775895
2016,7,22,22,32.73044825
2016,7,22,23,33.67889515
2016,7,22,24,34.5061692
2016,7,23,1,35.4577615
2016,7,23,2,36.4686332
2016,7,23,3,37.57576575
2016,7,23,4,38.7238398
2016,7,23,5,39.6704335
2016,7,23,6,40.4905838
2016,7,23,7,40.81382265
2016,7,23,8,41.2670577
2016,7,23,9,40.7254961
2016,7,23,10,34.06279765
2016,7,23,11,26.10378715
2016,7,23,12,24.4458032
2016,7,23,13,26.06182705
2016,7,23,14,27.52941125
2016,7,23,15,27.72380775
2016,7,23,16,28.0688028
2016,7,23,17,28.60590755
2016,7,23,18,32.05503695
2016,7,23,19,37.33158685
2016,7,23,20,41.9000784
2016,7,23,21,44.65499055
2016,7,23,22,45.9183107
2016,7,23,23,46.36487485
2016,7,23,24,46.76375465
2016,7,24,1,46.193782
2016,7,24,2,45.64604565
2016,7,24,3,45.1855412
2016,7,24,4,44.2687908
2016,7,24,5,44.3037431
2016,7,24,6,44.8777229
2016,7,24,7,45.092777
2016,7,24,8,45.1749712
2016,7,24,9,44.24296745
2016,7,24,10,39.55440405
2016,7,24,11,38.2769852
2016,7,24,12,40.43997325
2016,7,24,13,43.38109795
2016,7,24,14,46.20080015
2016,7,24,15,48.3140603
2016,7,24,16,50.47686755
2016,7,24,17,53.2973723
2016,7,24,18,57.3115646
2016,7,24,19,60.96267765
2016,7,24,20,63.5256473
2016,7,24,21,65.06750655
2016,7,24,22,65.86539735
2016,7,24,23,66.5946798
2016,7,24,24,66.8916432
2016,7,25,1,66.31894605
2016,7,25,2,65.3651893
2016,7,25,3,64.3248792
2016,7,25,4,63.1244631
2016,7,25,5,62.13262625
2016,7,25,6,60.80653085
2016,7,25,7,59.98777205
2016,7,25,8,59.5567013
2016,7,25,9,57.01007475
2016,7,25,10,52.8354676
2016,7,25,11,50.70655405
2016,7,25,12,49.37517285
2016,7,25,13,47.14412525
2016,7,25,14,44.56463
2016,7,25,15,42.2316717
2016,7,25,16,40.40185075
2016,7,25,17,39.9484005
2016,7,25,18,42.15903775
2016,7,25,19,47.29132315
2016,7,25,20,51.22701
2016,7,25,21,54.1067509
2016,7,25,22,56.3906878
2016,7,25,23,57.44828045
2016,7,25,24,57.78724715
2016,7,26,1,57.95432565
2016,7,26,2,57.9567829
2016,7,26,3,58.4089585
2016,7,26,4,59.3343074
2016,7,26,5,60.815595
2016,7,26,6,61.8769644
2016,7,26,7,62.5245183
2016,7,26,8,62.3297513
2016,7,26,9,59.7198654
2016,7,26,10,54.7246031
2016,7,26,11,51.89961115
2016,7,26,12,52.72524725
2016,7,26,13,55.29100385
2016,7,26,14,56.7510762
2016,7,26,15,56.97985695
2016,7,26,16,56.46590625
2016,7,26,17,55.6410975
2016,7,26,18,56.6832064
2016,7,26,19,60.1683099
2016,7,26,20,62.8505993
2016,7,26,21,64.58311195
2016,7,26,22,65.82265955
2016,7,26,23,66.3130305
2016,7,26,24,66.1212369
2016,7,27,1,65.58566845
2016,7,27,2,65.38466585
2016,7,27,3,64.94501105
2016,7,27,4,64.04621285
2016,7,27,5,62.8724043
2016,7,27,6,61.87569135
2016,7,27,7,61.2671081
2016,7,27,8,60.83867545
2016,7,27,9,58.7822342
2016,7,27,10,52.2343714
2016,7,27,11,49.90919455
2016,7,27,12,51.10395595
2016,7,27,13,52.64336755
2016,7,27,14,53.67478475
2016,7,27,15,55.1389619
2016,7,27,16,57.1056627
2016,7,27,17,58.4307059
2016,7,27,18,59.74037975
2016,7,27,19,61.286447
2016,7,27,20,61.5087537
2016,7,27,21,60.48620615
2016,7,27,22,58.9224531
2016,7,27,23,57.44079105
2016,7,27,24,55.57098405
2016,7,28,1,53.13885785
2016,7,28,2,50.8828815
2016,7,28,3,48.89601445
2016,7,28,4,46.79672575
2016,7,28,5,43.5546601
2016,7,28,6,40.8399749
2016,7,28,7,38.0962369
2016,7,28,8,35.40690295
2016,7,28,9,29.86789625
2016,7,28,10,23.3318797
2016,7,28,11,22.50194755
2016,7,28,12,23.2505193
2016,7,28,13,24.21495245
2016,7,28,14,24.73670705
2016,7,28,15,24.79079425
2016,7,28,16,25.27150175
2016,7,28,17,25.75187235
2016,7,28,18,27.59557995
2016,7,28,19,31.37788135
2016,7,28,20,33.4390819
2016,7,28,21,34.35453525
2016,7,28,22,34.5167936
2016,7,28,23,34.5609197
2016,7,28,24,35.3098067
2016,7,29,1,36.2057995
2016,7,29,2,36.9203439
2016,7,29,3,33.0082632
2016,7,29,4,33.4905694
2016,7,29,5,34.2933211
2016,7,29,6,35.308396
2016,7,29,7,36.149976
2016,7,29,8,36.36736895
2016,7,29,9,34.09550075
2016,7,29,10,26.5197222
2016,7,29,11,20.3964689
2016,7,29,12,18.9339225
